Epoch 1/60, Train Loss: 2.5734, Val Loss: 2.1029,  Time: 0min 7.5s
Epoch 2/60, Train Loss: 1.9273, Val Loss: 1.6823,  Time: 0min 6.8s
Epoch 3/60, Train Loss: 1.5005, Val Loss: 1.2507,  Time: 0min 6.8s
Epoch 4/60, Train Loss: 1.1518, Val Loss: 0.9656,  Time: 0min 6.8s
Epoch 5/60, Train Loss: 0.8876, Val Loss: 0.7891,  Time: 0min 6.8s
Epoch 6/60, Train Loss: 0.6783, Val Loss: 0.5921,  Time: 0min 6.8s
Epoch 7/60, Train Loss: 0.5319, Val Loss: 0.4624,  Time: 0min 6.7s
Epoch 8/60, Train Loss: 0.4319, Val Loss: 0.3560,  Time: 0min 6.8s
Epoch 9/60, Train Loss: 0.3607, Val Loss: 0.3059,  Time: 0min 7.0s
Epoch 10/60, Train Loss: 0.3028, Val Loss: 0.2671,  Time: 0min 6.9s
Epoch 11/60, Train Loss: 0.2651, Val Loss: 0.2320,  Time: 0min 6.8s
Epoch 12/60, Train Loss: 0.2390, Val Loss: 0.2103,  Time: 0min 6.8s
Epoch 13/60, Train Loss: 0.2187, Val Loss: 0.1955,  Time: 0min 7.0s
Epoch 14/60, Train Loss: 0.2020, Val Loss: 0.1785,  Time: 0min 6.8s
Epoch 15/60, Train Loss: 0.1875, Val Loss: 0.1692,  Time: 0min 6.8s
Epoch 16/60, Train Loss: 0.1788, Val Loss: 0.1602,  Time: 0min 6.9s
Epoch 17/60, Train Loss: 0.1688, Val Loss: 0.1555,  Time: 0min 7.0s
Epoch 18/60, Train Loss: 0.1622, Val Loss: 0.1494,  Time: 0min 6.8s
Epoch 19/60, Train Loss: 0.1528, Val Loss: 0.1398,  Time: 0min 6.8s
Epoch 20/60, Train Loss: 0.1475, Val Loss: 0.1395,  Time: 0min 6.8s
Epoch 21/60, Train Loss: 0.1421, Val Loss: 0.1334,  Time: 0min 6.8s
Epoch 22/60, Train Loss: 0.1377, Val Loss: 0.1321,  Time: 0min 6.9s
Epoch 23/60, Train Loss: 0.1325, Val Loss: 0.1238,  Time: 0min 6.8s
Epoch 24/60, Train Loss: 0.1282, Val Loss: 0.1214,  Time: 0min 6.8s
Epoch 25/60, Train Loss: 0.1272, Val Loss: 0.1201,  Time: 0min 7.0s
Epoch 26/60, Train Loss: 0.1214, Val Loss: 0.1161,  Time: 0min 6.9s
Epoch 27/60, Train Loss: 0.1203, Val Loss: 0.1191,  Time: 0min 6.9s
Epoch 28/60, Train Loss: 0.1158, Val Loss: 0.1124,  Time: 0min 7.0s
Epoch 29/60, Train Loss: 0.1142, Val Loss: 0.1106,  Time: 0min 7.2s
Epoch 30/60, Train Loss: 0.1109, Val Loss: 0.1070,  Time: 0min 6.8s
Epoch 31/60, Train Loss: 0.1081, Val Loss: 0.1080,  Time: 0min 6.9s
Epoch 32/60, Train Loss: 0.1052, Val Loss: 0.1010,  Time: 0min 6.8s
Epoch 33/60, Train Loss: 0.1033, Val Loss: 0.1018,  Time: 0min 6.8s
Epoch 34/60, Train Loss: 0.1013, Val Loss: 0.1002,  Time: 0min 6.8s
Epoch 35/60, Train Loss: 0.0976, Val Loss: 0.0973,  Time: 0min 6.8s
Epoch 36/60, Train Loss: 0.0972, Val Loss: 0.0985,  Time: 0min 6.7s
Epoch 37/60, Train Loss: 0.0954, Val Loss: 0.0955,  Time: 0min 6.8s
Epoch 38/60, Train Loss: 0.0938, Val Loss: 0.0960,  Time: 0min 6.8s
Epoch 39/60, Train Loss: 0.0920, Val Loss: 0.0971,  Time: 0min 6.7s
Epoch 40/60, Train Loss: 0.0910, Val Loss: 0.0916,  Time: 0min 6.8s
Epoch 41/60, Train Loss: 0.0889, Val Loss: 0.0932,  Time: 0min 7.0s
Epoch 42/60, Train Loss: 0.0875, Val Loss: 0.0896,  Time: 0min 6.9s
Epoch 43/60, Train Loss: 0.0866, Val Loss: 0.0928,  Time: 0min 6.8s
Epoch 44/60, Train Loss: 0.0855, Val Loss: 0.0898,  Time: 0min 6.8s
Epoch 45/60, Train Loss: 0.0837, Val Loss: 0.0871,  Time: 0min 6.8s
Epoch 46/60, Train Loss: 0.0832, Val Loss: 0.0875,  Time: 0min 6.8s
Epoch 47/60, Train Loss: 0.0824, Val Loss: 0.0894,  Time: 0min 6.8s
Epoch 48/60, Train Loss: 0.0801, Val Loss: 0.0871,  Time: 0min 6.8s
Epoch 49/60, Train Loss: 0.0797, Val Loss: 0.0864,  Time: 0min 6.8s
Epoch 50/60, Train Loss: 0.0790, Val Loss: 0.0870,  Time: 0min 6.8s
Epoch 51/60, Train Loss: 0.0780, Val Loss: 0.0878,  Time: 0min 6.8s
Epoch 52/60, Train Loss: 0.0769, Val Loss: 0.0861,  Time: 0min 6.8s
Epoch 53/60, Train Loss: 0.0771, Val Loss: 0.0837,  Time: 0min 6.8s
Epoch 54/60, Train Loss: 0.0739, Val Loss: 0.0849,  Time: 0min 6.8s
Epoch 55/60, Train Loss: 0.0735, Val Loss: 0.0834,  Time: 0min 6.8s
Epoch 56/60, Train Loss: 0.0730, Val Loss: 0.0815,  Time: 0min 6.7s
Epoch 57/60, Train Loss: 0.0724, Val Loss: 0.0817,  Time: 0min 6.8s
Epoch 58/60, Train Loss: 0.0711, Val Loss: 0.0815,  Time: 0min 6.9s
Epoch 59/60, Train Loss: 0.0708, Val Loss: 0.0831,  Time: 0min 6.8s
Epoch 60/60, Train Loss: 0.0685, Val Loss: 0.0810,  Time: 0min 6.8s
