Epoch 1/100, Train Loss: 2.4838, Val Loss: 2.0220,  Time: 0min 29.4s
Epoch 2/100, Train Loss: 1.9103, Val Loss: 1.6257,  Time: 0min 26.9s
Epoch 3/100, Train Loss: 1.5600, Val Loss: 1.3617,  Time: 0min 26.8s
Epoch 4/100, Train Loss: 1.2422, Val Loss: 1.1085,  Time: 0min 26.8s
Epoch 5/100, Train Loss: 1.0035, Val Loss: 0.8474,  Time: 0min 26.8s
Epoch 6/100, Train Loss: 0.7970, Val Loss: 0.6846,  Time: 0min 26.9s
Epoch 7/100, Train Loss: 0.6399, Val Loss: 0.5169,  Time: 0min 26.8s
Epoch 8/100, Train Loss: 0.5255, Val Loss: 0.4323,  Time: 0min 26.8s
Epoch 9/100, Train Loss: 0.4334, Val Loss: 0.3663,  Time: 0min 26.9s
Epoch 10/100, Train Loss: 0.3745, Val Loss: 0.3000,  Time: 0min 26.9s
Epoch 11/100, Train Loss: 0.3248, Val Loss: 0.2724,  Time: 0min 26.8s
Epoch 12/100, Train Loss: 0.2874, Val Loss: 0.2322,  Time: 0min 26.9s
Epoch 13/100, Train Loss: 0.2572, Val Loss: 0.2163,  Time: 0min 26.8s
Epoch 14/100, Train Loss: 0.2382, Val Loss: 0.1976,  Time: 0min 26.9s
Epoch 15/100, Train Loss: 0.2201, Val Loss: 0.1858,  Time: 0min 26.9s
Epoch 16/100, Train Loss: 0.2063, Val Loss: 0.1739,  Time: 0min 26.8s
Epoch 17/100, Train Loss: 0.1948, Val Loss: 0.1665,  Time: 0min 26.9s
Epoch 18/100, Train Loss: 0.1864, Val Loss: 0.1594,  Time: 0min 26.9s
Epoch 19/100, Train Loss: 0.1771, Val Loss: 0.1550,  Time: 0min 26.8s
Epoch 20/100, Train Loss: 0.1695, Val Loss: 0.1489,  Time: 0min 26.9s
Epoch 21/100, Train Loss: 0.1628, Val Loss: 0.1495,  Time: 0min 26.9s
Epoch 22/100, Train Loss: 0.1581, Val Loss: 0.1385,  Time: 0min 26.9s
Epoch 23/100, Train Loss: 0.1518, Val Loss: 0.1366,  Time: 0min 26.9s
Epoch 24/100, Train Loss: 0.1482, Val Loss: 0.1353,  Time: 0min 26.9s
Epoch 25/100, Train Loss: 0.1417, Val Loss: 0.1341,  Time: 0min 26.9s
Epoch 26/100, Train Loss: 0.1403, Val Loss: 0.1247,  Time: 0min 26.9s
Epoch 27/100, Train Loss: 0.1361, Val Loss: 0.1230,  Time: 0min 26.9s
Epoch 28/100, Train Loss: 0.1330, Val Loss: 0.1223,  Time: 0min 26.9s
Epoch 29/100, Train Loss: 0.1300, Val Loss: 0.1184,  Time: 0min 26.9s
Epoch 30/100, Train Loss: 0.1289, Val Loss: 0.1181,  Time: 0min 26.9s
Epoch 31/100, Train Loss: 0.1245, Val Loss: 0.1152,  Time: 0min 26.9s
