Epoch 1/60, Train Loss: 2.5040, Val Loss: 1.9816,  Time: 0min 7.5s
Epoch 2/60, Train Loss: 1.8604, Val Loss: 1.6139,  Time: 0min 6.8s
Epoch 3/60, Train Loss: 1.4853, Val Loss: 1.2727,  Time: 0min 6.8s
Epoch 4/60, Train Loss: 1.1886, Val Loss: 0.9883,  Time: 0min 6.9s
Epoch 5/60, Train Loss: 0.9354, Val Loss: 0.8089,  Time: 0min 6.8s
Epoch 6/60, Train Loss: 0.7428, Val Loss: 0.6378,  Time: 0min 7.0s
Epoch 7/60, Train Loss: 0.5969, Val Loss: 0.5094,  Time: 0min 6.8s
Epoch 8/60, Train Loss: 0.4862, Val Loss: 0.4122,  Time: 0min 6.9s
Epoch 9/60, Train Loss: 0.4132, Val Loss: 0.3537,  Time: 0min 6.8s
Epoch 10/60, Train Loss: 0.3681, Val Loss: 0.3142,  Time: 0min 6.8s
Epoch 11/60, Train Loss: 0.3150, Val Loss: 0.2700,  Time: 0min 6.8s
Epoch 12/60, Train Loss: 0.2807, Val Loss: 0.2363,  Time: 0min 6.9s
Epoch 13/60, Train Loss: 0.2575, Val Loss: 0.2208,  Time: 0min 7.0s
Epoch 14/60, Train Loss: 0.2352, Val Loss: 0.2057,  Time: 0min 6.8s
Epoch 15/60, Train Loss: 0.2148, Val Loss: 0.1898,  Time: 0min 7.0s
Epoch 16/60, Train Loss: 0.2028, Val Loss: 0.1774,  Time: 0min 6.9s
Epoch 17/60, Train Loss: 0.1917, Val Loss: 0.1719,  Time: 0min 6.8s
Epoch 18/60, Train Loss: 0.1827, Val Loss: 0.1600,  Time: 0min 6.8s
Epoch 19/60, Train Loss: 0.1723, Val Loss: 0.1578,  Time: 0min 6.8s
Epoch 20/60, Train Loss: 0.1603, Val Loss: 0.1480,  Time: 0min 6.8s
Epoch 21/60, Train Loss: 0.1560, Val Loss: 0.1425,  Time: 0min 7.0s
Epoch 22/60, Train Loss: 0.1490, Val Loss: 0.1415,  Time: 0min 6.8s
Epoch 23/60, Train Loss: 0.1444, Val Loss: 0.1326,  Time: 0min 6.9s
Epoch 24/60, Train Loss: 0.1367, Val Loss: 0.1317,  Time: 0min 6.9s
Epoch 25/60, Train Loss: 0.1329, Val Loss: 0.1243,  Time: 0min 6.8s
Epoch 26/60, Train Loss: 0.1293, Val Loss: 0.1205,  Time: 0min 6.8s
Epoch 27/60, Train Loss: 0.1237, Val Loss: 0.1196,  Time: 0min 6.8s
Epoch 28/60, Train Loss: 0.1204, Val Loss: 0.1164,  Time: 0min 6.8s
Epoch 29/60, Train Loss: 0.1167, Val Loss: 0.1105,  Time: 0min 6.8s
Epoch 30/60, Train Loss: 0.1122, Val Loss: 0.1070,  Time: 0min 6.7s
Epoch 31/60, Train Loss: 0.1104, Val Loss: 0.1059,  Time: 0min 6.9s
Epoch 32/60, Train Loss: 0.1097, Val Loss: 0.1029,  Time: 0min 6.7s
Epoch 33/60, Train Loss: 0.1050, Val Loss: 0.1021,  Time: 0min 6.8s
Epoch 34/60, Train Loss: 0.1005, Val Loss: 0.0986,  Time: 0min 6.8s
Epoch 35/60, Train Loss: 0.1003, Val Loss: 0.0979,  Time: 0min 6.8s
Epoch 36/60, Train Loss: 0.0981, Val Loss: 0.0988,  Time: 0min 6.8s
Epoch 37/60, Train Loss: 0.0951, Val Loss: 0.0959,  Time: 0min 6.8s
Epoch 38/60, Train Loss: 0.0943, Val Loss: 0.0930,  Time: 0min 6.8s
Epoch 39/60, Train Loss: 0.0935, Val Loss: 0.0908,  Time: 0min 6.7s
Epoch 40/60, Train Loss: 0.0900, Val Loss: 0.0904,  Time: 0min 6.9s
Epoch 41/60, Train Loss: 0.0893, Val Loss: 0.0891,  Time: 0min 6.7s
Epoch 42/60, Train Loss: 0.0877, Val Loss: 0.0897,  Time: 0min 6.7s
Epoch 43/60, Train Loss: 0.0866, Val Loss: 0.0942,  Time: 0min 6.8s
Epoch 44/60, Train Loss: 0.0841, Val Loss: 0.0860,  Time: 0min 6.7s
Epoch 45/60, Train Loss: 0.0833, Val Loss: 0.0848,  Time: 0min 6.8s
Epoch 46/60, Train Loss: 0.0839, Val Loss: 0.0841,  Time: 0min 7.1s
Epoch 47/60, Train Loss: 0.0809, Val Loss: 0.0854,  Time: 0min 7.0s
Epoch 48/60, Train Loss: 0.0807, Val Loss: 0.0825,  Time: 0min 6.8s
Epoch 49/60, Train Loss: 0.0776, Val Loss: 0.0808,  Time: 0min 6.7s
Epoch 50/60, Train Loss: 0.0769, Val Loss: 0.0825,  Time: 0min 7.0s
Epoch 51/60, Train Loss: 0.0767, Val Loss: 0.0829,  Time: 0min 6.8s
Epoch 52/60, Train Loss: 0.0761, Val Loss: 0.0806,  Time: 0min 6.8s
Epoch 53/60, Train Loss: 0.0742, Val Loss: 0.0808,  Time: 0min 6.8s
Epoch 54/60, Train Loss: 0.0745, Val Loss: 0.0816,  Time: 0min 6.9s
Epoch 55/60, Train Loss: 0.0729, Val Loss: 0.0789,  Time: 0min 6.7s
Epoch 56/60, Train Loss: 0.0720, Val Loss: 0.0799,  Time: 0min 6.8s
Epoch 57/60, Train Loss: 0.0712, Val Loss: 0.0782,  Time: 0min 6.7s
Epoch 58/60, Train Loss: 0.0709, Val Loss: 0.0808,  Time: 0min 6.7s
Epoch 59/60, Train Loss: 0.0688, Val Loss: 0.0812,  Time: 0min 6.7s
Epoch 60/60, Train Loss: 0.0691, Val Loss: 0.0787,  Time: 0min 6.7s
