Epoch 1/100, Train Loss: 2.9821, Val Loss: 3.0160,  Time: 0min 4.6s
Epoch 2/100, Train Loss: 2.6290, Val Loss: 2.6006,  Time: 0min 3.7s
Epoch 3/100, Train Loss: 2.3786, Val Loss: 2.1745,  Time: 0min 3.7s
Epoch 4/100, Train Loss: 2.2127, Val Loss: 1.8456,  Time: 0min 3.7s
Epoch 5/100, Train Loss: 2.1155, Val Loss: 1.7815,  Time: 0min 3.7s
Epoch 6/100, Train Loss: 2.0488, Val Loss: 1.9045,  Time: 0min 3.7s
Epoch 7/100, Train Loss: 1.9721, Val Loss: 1.8467,  Time: 0min 3.8s
Epoch 8/100, Train Loss: 1.9311, Val Loss: 1.8615,  Time: 0min 3.7s
Epoch 9/100, Train Loss: 1.8618, Val Loss: 1.7970,  Time: 0min 3.7s
Epoch 10/100, Train Loss: 1.8072, Val Loss: 1.7278,  Time: 0min 3.7s
Epoch 11/100, Train Loss: 1.7778, Val Loss: 1.6990,  Time: 0min 3.7s
Epoch 12/100, Train Loss: 1.7149, Val Loss: 1.6073,  Time: 0min 3.7s
Epoch 13/100, Train Loss: 1.6713, Val Loss: 1.5584,  Time: 0min 3.7s
Epoch 14/100, Train Loss: 1.6292, Val Loss: 1.5595,  Time: 0min 3.7s
Epoch 15/100, Train Loss: 1.5598, Val Loss: 1.4909,  Time: 0min 3.8s
Epoch 16/100, Train Loss: 1.5282, Val Loss: 1.4824,  Time: 0min 3.7s
Epoch 17/100, Train Loss: 1.4868, Val Loss: 1.4391,  Time: 0min 3.7s
Epoch 18/100, Train Loss: 1.4362, Val Loss: 1.3835,  Time: 0min 3.7s
Epoch 19/100, Train Loss: 1.4040, Val Loss: 1.3283,  Time: 0min 3.7s
Epoch 20/100, Train Loss: 1.3622, Val Loss: 1.2752,  Time: 0min 3.7s
Epoch 21/100, Train Loss: 1.3298, Val Loss: 1.2734,  Time: 0min 3.7s
Epoch 22/100, Train Loss: 1.2875, Val Loss: 1.2236,  Time: 0min 3.7s
Epoch 23/100, Train Loss: 1.2368, Val Loss: 1.1835,  Time: 0min 3.7s
Epoch 24/100, Train Loss: 1.2043, Val Loss: 1.1542,  Time: 0min 3.7s
Epoch 25/100, Train Loss: 1.1613, Val Loss: 1.1015,  Time: 0min 3.7s
Epoch 26/100, Train Loss: 1.1301, Val Loss: 1.0847,  Time: 0min 3.7s
