Epoch 1/100, Train Loss: 3.2828, Val Loss: 3.3117,  Time: 0min 2.4s
Epoch 2/100, Train Loss: 2.9665, Val Loss: 3.1329,  Time: 0min 2.1s
Epoch 3/100, Train Loss: 2.7226, Val Loss: 2.8675,  Time: 0min 2.1s
Epoch 4/100, Train Loss: 2.5631, Val Loss: 2.5893,  Time: 0min 2.1s
Epoch 5/100, Train Loss: 2.4579, Val Loss: 2.3922,  Time: 0min 2.1s
Epoch 6/100, Train Loss: 2.3811, Val Loss: 2.2299,  Time: 0min 2.1s
Epoch 7/100, Train Loss: 2.3184, Val Loss: 2.1960,  Time: 0min 2.1s
Epoch 8/100, Train Loss: 2.2745, Val Loss: 2.1760,  Time: 0min 2.1s
Epoch 9/100, Train Loss: 2.2068, Val Loss: 2.1179,  Time: 0min 2.1s
Epoch 10/100, Train Loss: 2.1807, Val Loss: 2.0818,  Time: 0min 2.1s
Epoch 11/100, Train Loss: 2.1176, Val Loss: 2.0420,  Time: 0min 2.1s
Epoch 12/100, Train Loss: 2.0647, Val Loss: 2.0234,  Time: 0min 2.1s
Epoch 13/100, Train Loss: 2.0229, Val Loss: 2.0272,  Time: 0min 2.1s
Epoch 14/100, Train Loss: 1.9826, Val Loss: 1.9821,  Time: 0min 2.1s
Epoch 15/100, Train Loss: 1.9572, Val Loss: 1.9309,  Time: 0min 2.1s
Epoch 16/100, Train Loss: 1.8965, Val Loss: 1.8795,  Time: 0min 2.1s
Epoch 17/100, Train Loss: 1.8729, Val Loss: 1.8080,  Time: 0min 2.1s
Epoch 18/100, Train Loss: 1.8236, Val Loss: 1.7699,  Time: 0min 2.1s
Epoch 19/100, Train Loss: 1.7684, Val Loss: 1.7346,  Time: 0min 2.1s
Epoch 20/100, Train Loss: 1.7357, Val Loss: 1.6906,  Time: 0min 2.1s
Epoch 21/100, Train Loss: 1.6882, Val Loss: 1.6480,  Time: 0min 2.1s
Epoch 22/100, Train Loss: 1.6484, Val Loss: 1.5945,  Time: 0min 2.1s
Epoch 23/100, Train Loss: 1.6058, Val Loss: 1.5440,  Time: 0min 2.1s
Epoch 24/100, Train Loss: 1.5830, Val Loss: 1.4982,  Time: 0min 2.1s
Epoch 25/100, Train Loss: 1.5411, Val Loss: 1.4784,  Time: 0min 2.1s
Epoch 26/100, Train Loss: 1.5043, Val Loss: 1.4713,  Time: 0min 2.1s
Epoch 27/100, Train Loss: 1.4361, Val Loss: 1.4334,  Time: 0min 2.1s
Epoch 28/100, Train Loss: 1.4301, Val Loss: 1.3486,  Time: 0min 2.1s
Epoch 29/100, Train Loss: 1.3863, Val Loss: 1.3238,  Time: 0min 2.1s
Epoch 30/100, Train Loss: 1.3435, Val Loss: 1.2961,  Time: 0min 2.1s
Epoch 31/100, Train Loss: 1.3312, Val Loss: 1.2890,  Time: 0min 2.1s
Epoch 32/100, Train Loss: 1.2815, Val Loss: 1.2354,  Time: 0min 2.1s
Epoch 33/100, Train Loss: 1.2343, Val Loss: 1.1876,  Time: 0min 2.1s
Epoch 34/100, Train Loss: 1.2223, Val Loss: 1.1749,  Time: 0min 2.1s
Epoch 35/100, Train Loss: 1.1719, Val Loss: 1.1377,  Time: 0min 2.1s
Epoch 36/100, Train Loss: 1.1277, Val Loss: 1.1198,  Time: 0min 2.1s
Epoch 37/100, Train Loss: 1.1119, Val Loss: 1.0607,  Time: 0min 2.1s
Epoch 38/100, Train Loss: 1.0988, Val Loss: 1.0196,  Time: 0min 2.1s
Epoch 39/100, Train Loss: 1.0545, Val Loss: 1.0029,  Time: 0min 2.1s
Epoch 40/100, Train Loss: 1.0363, Val Loss: 0.9626,  Time: 0min 2.1s
Epoch 41/100, Train Loss: 0.9787, Val Loss: 0.9676,  Time: 0min 2.1s
Epoch 42/100, Train Loss: 0.9637, Val Loss: 0.9482,  Time: 0min 2.1s
Epoch 43/100, Train Loss: 0.9417, Val Loss: 0.9261,  Time: 0min 2.1s
Epoch 44/100, Train Loss: 0.9065, Val Loss: 0.8906,  Time: 0min 2.1s
Epoch 45/100, Train Loss: 0.8800, Val Loss: 0.8716,  Time: 0min 2.1s
Epoch 46/100, Train Loss: 0.8658, Val Loss: 0.8359,  Time: 0min 2.1s
Epoch 47/100, Train Loss: 0.8439, Val Loss: 0.8467,  Time: 0min 2.1s
Epoch 48/100, Train Loss: 0.8157, Val Loss: 0.7771,  Time: 0min 2.1s
Epoch 49/100, Train Loss: 0.8064, Val Loss: 0.7702,  Time: 0min 2.1s
Epoch 50/100, Train Loss: 0.7811, Val Loss: 0.7596,  Time: 0min 2.1s
Epoch 51/100, Train Loss: 0.7441, Val Loss: 0.7389,  Time: 0min 2.1s
Epoch 52/100, Train Loss: 0.7432, Val Loss: 0.7198,  Time: 0min 2.1s
Epoch 53/100, Train Loss: 0.7108, Val Loss: 0.6955,  Time: 0min 2.1s
Epoch 54/100, Train Loss: 0.6971, Val Loss: 0.6769,  Time: 0min 2.1s
Epoch 55/100, Train Loss: 0.6721, Val Loss: 0.6565,  Time: 0min 2.1s
Epoch 56/100, Train Loss: 0.6741, Val Loss: 0.6418,  Time: 0min 2.1s
Epoch 57/100, Train Loss: 0.6358, Val Loss: 0.6186,  Time: 0min 2.1s
Epoch 58/100, Train Loss: 0.6179, Val Loss: 0.6049,  Time: 0min 2.1s
Epoch 59/100, Train Loss: 0.6072, Val Loss: 0.5869,  Time: 0min 2.1s
Epoch 60/100, Train Loss: 0.5996, Val Loss: 0.5736,  Time: 0min 2.1s
Epoch 61/100, Train Loss: 0.5868, Val Loss: 0.5530,  Time: 0min 2.1s
Epoch 62/100, Train Loss: 0.5732, Val Loss: 0.5399,  Time: 0min 2.1s
Epoch 63/100, Train Loss: 0.5484, Val Loss: 0.5124,  Time: 0min 2.1s
