Epoch 1/100, Train Loss: 2.6541, Train Acc: 4.78%, Val Loss: 2.5687, Val Acc: 0.00%, Time: 0min 12.7s
Epoch 2/100, Train Loss: 2.1353, Train Acc: 5.66%, Val Loss: 1.9884, Val Acc: 0.06%, Time: 0min 10.0s
Epoch 3/100, Train Loss: 1.8941, Train Acc: 5.74%, Val Loss: 1.7358, Val Acc: 1.46%, Time: 0min 10.0s
Epoch 4/100, Train Loss: 1.6765, Train Acc: 7.66%, Val Loss: 1.5683, Val Acc: 10.27%, Time: 0min 10.0s
Epoch 5/100, Train Loss: 1.4938, Train Acc: 9.06%, Val Loss: 1.4417, Val Acc: 9.46%, Time: 0min 10.0s
Epoch 6/100, Train Loss: 1.3616, Train Acc: 10.08%, Val Loss: 1.3661, Val Acc: 10.33%, Time: 0min 10.0s
Epoch 7/100, Train Loss: 1.2106, Train Acc: 11.50%, Val Loss: 1.2037, Val Acc: 10.81%, Time: 0min 10.0s
Epoch 8/100, Train Loss: 1.0931, Train Acc: 12.04%, Val Loss: 1.0293, Val Acc: 14.44%, Time: 0min 10.0s
Epoch 9/100, Train Loss: 0.9738, Train Acc: 12.81%, Val Loss: 0.9369, Val Acc: 15.83%, Time: 0min 10.0s
Epoch 10/100, Train Loss: 0.8666, Train Acc: 13.25%, Val Loss: 0.8061, Val Acc: 16.87%, Time: 0min 10.0s
Epoch 11/100, Train Loss: 0.7580, Train Acc: 13.90%, Val Loss: 0.7266, Val Acc: 15.37%, Time: 0min 10.0s
Epoch 12/100, Train Loss: 0.6729, Train Acc: 14.17%, Val Loss: 0.6436, Val Acc: 16.82%, Time: 0min 10.0s
Epoch 13/100, Train Loss: 0.6105, Train Acc: 14.40%, Val Loss: 0.6017, Val Acc: 16.46%, Time: 0min 10.0s
Epoch 14/100, Train Loss: 0.5381, Train Acc: 14.84%, Val Loss: 0.5351, Val Acc: 17.89%, Time: 0min 10.0s
Epoch 15/100, Train Loss: 0.5048, Train Acc: 15.61%, Val Loss: 0.4761, Val Acc: 17.63%, Time: 0min 10.0s
