Epoch 1/100, Train Loss: 3.2712, Train Acc: 3.84%, Val Loss: 3.0902, Val Acc: 0.00%, Time: 0min 8.3s
Epoch 2/100, Train Loss: 2.8221, Train Acc: 5.02%, Val Loss: 2.6862, Val Acc: 0.42%, Time: 0min 7.0s
Epoch 3/100, Train Loss: 2.5780, Train Acc: 6.07%, Val Loss: 7.4077, Val Acc: 6.83%, Time: 0min 6.9s
Epoch 4/100, Train Loss: 2.3991, Train Acc: 8.73%, Val Loss: 2.1917, Val Acc: 14.71%, Time: 0min 7.0s
Epoch 5/100, Train Loss: 2.2675, Train Acc: 11.17%, Val Loss: 2.1152, Val Acc: 17.00%, Time: 0min 7.1s
Epoch 6/100, Train Loss: 2.1642, Train Acc: 13.31%, Val Loss: 2.0485, Val Acc: 19.66%, Time: 0min 7.0s
Epoch 7/100, Train Loss: 2.0464, Train Acc: 13.37%, Val Loss: 1.9594, Val Acc: 19.44%, Time: 0min 7.1s
Epoch 8/100, Train Loss: 1.9584, Train Acc: 15.50%, Val Loss: 1.8502, Val Acc: 20.48%, Time: 0min 7.3s
Epoch 9/100, Train Loss: 1.8716, Train Acc: 15.53%, Val Loss: 1.7651, Val Acc: 20.58%, Time: 0min 7.4s
Epoch 10/100, Train Loss: 1.7596, Train Acc: 16.81%, Val Loss: 1.6709, Val Acc: 20.63%, Time: 0min 7.2s
Epoch 11/100, Train Loss: 1.6635, Train Acc: 17.22%, Val Loss: 1.6003, Val Acc: 21.78%, Time: 0min 6.9s
Epoch 12/100, Train Loss: 1.5740, Train Acc: 17.68%, Val Loss: 1.5049, Val Acc: 22.13%, Time: 0min 6.9s
Epoch 13/100, Train Loss: 1.5026, Train Acc: 18.49%, Val Loss: 1.4459, Val Acc: 22.76%, Time: 0min 7.2s
Epoch 14/100, Train Loss: 1.4178, Train Acc: 18.52%, Val Loss: 1.3569, Val Acc: 23.39%, Time: 0min 7.1s
Epoch 15/100, Train Loss: 1.3413, Train Acc: 18.73%, Val Loss: 1.2944, Val Acc: 24.58%, Time: 0min 7.0s
Epoch 16/100, Train Loss: 1.2721, Train Acc: 19.19%, Val Loss: 1.2313, Val Acc: 25.31%, Time: 0min 7.5s
Epoch 17/100, Train Loss: 1.2159, Train Acc: 20.32%, Val Loss: 1.1541, Val Acc: 26.63%, Time: 0min 7.6s
Epoch 18/100, Train Loss: 1.1647, Train Acc: 20.36%, Val Loss: 1.0925, Val Acc: 26.77%, Time: 0min 7.2s
Epoch 19/100, Train Loss: 1.0814, Train Acc: 21.16%, Val Loss: 1.0421, Val Acc: 28.29%, Time: 0min 7.1s
Epoch 20/100, Train Loss: 1.0384, Train Acc: 21.05%, Val Loss: 0.9532, Val Acc: 28.72%, Time: 0min 7.0s
Epoch 21/100, Train Loss: 0.9637, Train Acc: 22.11%, Val Loss: 0.8941, Val Acc: 29.40%, Time: 0min 7.0s
Epoch 22/100, Train Loss: 0.9260, Train Acc: 22.85%, Val Loss: 0.8649, Val Acc: 29.52%, Time: 0min 7.0s
Epoch 23/100, Train Loss: 0.8655, Train Acc: 23.72%, Val Loss: 0.8085, Val Acc: 29.55%, Time: 0min 7.4s
Epoch 24/100, Train Loss: 0.8272, Train Acc: 24.06%, Val Loss: 0.7830, Val Acc: 30.50%, Time: 0min 6.9s
Epoch 25/100, Train Loss: 0.7942, Train Acc: 24.47%, Val Loss: 0.7459, Val Acc: 31.07%, Time: 0min 7.0s
Epoch 26/100, Train Loss: 0.7472, Train Acc: 24.71%, Val Loss: 0.7160, Val Acc: 31.99%, Time: 0min 7.1s
Epoch 27/100, Train Loss: 0.7071, Train Acc: 25.29%, Val Loss: 0.6609, Val Acc: 32.08%, Time: 0min 6.9s
Epoch 28/100, Train Loss: 0.6748, Train Acc: 25.48%, Val Loss: 0.6173, Val Acc: 32.60%, Time: 0min 7.1s
Epoch 29/100, Train Loss: 0.6295, Train Acc: 26.23%, Val Loss: 0.5763, Val Acc: 33.33%, Time: 0min 7.5s
Epoch 30/100, Train Loss: 0.5981, Train Acc: 26.88%, Val Loss: 0.5597, Val Acc: 33.83%, Time: 0min 6.8s
Epoch 31/100, Train Loss: 0.5661, Train Acc: 27.48%, Val Loss: 0.5425, Val Acc: 35.26%, Time: 0min 7.0s
Epoch 32/100, Train Loss: 0.5406, Train Acc: 28.25%, Val Loss: 0.4878, Val Acc: 35.18%, Time: 0min 7.1s
Epoch 33/100, Train Loss: 0.5314, Train Acc: 27.99%, Val Loss: 0.4694, Val Acc: 34.74%, Time: 0min 7.2s
Epoch 34/100, Train Loss: 0.5017, Train Acc: 28.77%, Val Loss: 0.4638, Val Acc: 36.35%, Time: 0min 6.9s
Epoch 35/100, Train Loss: 0.4674, Train Acc: 30.22%, Val Loss: 0.4219, Val Acc: 36.25%, Time: 0min 7.2s
