Epoch 1/160, Train Loss: 3.4824, Train Acc: 7.95%, Val Loss: 3.3068, Val Acc: 11.46%, Time: 0min 8.7s
Epoch 2/160, Train Loss: 3.1571, Train Acc: 8.44%, Val Loss: 2.9160, Val Acc: 4.48%, Time: 0min 6.7s
Epoch 3/160, Train Loss: 2.8931, Train Acc: 7.73%, Val Loss: 2.5351, Val Acc: 3.10%, Time: 0min 6.8s
Epoch 4/160, Train Loss: 2.6725, Train Acc: 8.11%, Val Loss: 3.0454, Val Acc: 10.61%, Time: 0min 6.8s
Epoch 5/160, Train Loss: 2.5502, Train Acc: 9.20%, Val Loss: 2.2549, Val Acc: 9.89%, Time: 0min 6.8s
Epoch 6/160, Train Loss: 2.4301, Train Acc: 9.81%, Val Loss: 2.2254, Val Acc: 12.48%, Time: 0min 6.8s
Epoch 7/160, Train Loss: 2.3148, Train Acc: 10.15%, Val Loss: 2.1854, Val Acc: 14.51%, Time: 0min 6.9s
Epoch 8/160, Train Loss: 2.2672, Train Acc: 10.34%, Val Loss: 2.1374, Val Acc: 12.93%, Time: 0min 6.8s
Epoch 9/160, Train Loss: 2.1814, Train Acc: 10.58%, Val Loss: 2.1169, Val Acc: 13.88%, Time: 0min 6.9s
Epoch 10/160, Train Loss: 2.1058, Train Acc: 10.91%, Val Loss: 2.0596, Val Acc: 14.60%, Time: 0min 7.1s
Epoch 11/160, Train Loss: 2.0346, Train Acc: 11.45%, Val Loss: 2.0135, Val Acc: 14.57%, Time: 0min 6.7s
Epoch 12/160, Train Loss: 1.9726, Train Acc: 10.90%, Val Loss: 1.9504, Val Acc: 15.74%, Time: 0min 6.7s
Epoch 13/160, Train Loss: 1.8820, Train Acc: 11.78%, Val Loss: 1.8591, Val Acc: 14.51%, Time: 0min 6.8s
Epoch 14/160, Train Loss: 1.8114, Train Acc: 11.64%, Val Loss: 1.7641, Val Acc: 14.50%, Time: 0min 6.7s
Epoch 15/160, Train Loss: 1.7668, Train Acc: 11.60%, Val Loss: 1.7239, Val Acc: 14.35%, Time: 0min 6.8s
Epoch 16/160, Train Loss: 1.6968, Train Acc: 12.03%, Val Loss: 1.6881, Val Acc: 14.45%, Time: 0min 6.8s
Epoch 17/160, Train Loss: 1.6688, Train Acc: 11.97%, Val Loss: 1.6077, Val Acc: 14.92%, Time: 0min 6.8s
Epoch 18/160, Train Loss: 1.5891, Train Acc: 11.52%, Val Loss: 1.5741, Val Acc: 15.14%, Time: 0min 6.8s
Epoch 19/160, Train Loss: 1.5478, Train Acc: 11.84%, Val Loss: 1.5011, Val Acc: 13.43%, Time: 0min 6.8s
Epoch 20/160, Train Loss: 1.4582, Train Acc: 11.42%, Val Loss: 1.4410, Val Acc: 14.31%, Time: 0min 6.8s
Epoch 21/160, Train Loss: 1.4378, Train Acc: 11.82%, Val Loss: 1.3848, Val Acc: 14.65%, Time: 0min 6.7s
Epoch 22/160, Train Loss: 1.3718, Train Acc: 11.91%, Val Loss: 1.3505, Val Acc: 14.57%, Time: 0min 6.8s
Epoch 23/160, Train Loss: 1.3316, Train Acc: 12.32%, Val Loss: 1.2928, Val Acc: 15.60%, Time: 0min 7.2s
Epoch 24/160, Train Loss: 1.2891, Train Acc: 12.68%, Val Loss: 1.2683, Val Acc: 15.86%, Time: 0min 6.8s
Epoch 25/160, Train Loss: 1.2252, Train Acc: 12.55%, Val Loss: 1.1898, Val Acc: 15.36%, Time: 0min 6.7s
Epoch 26/160, Train Loss: 1.1731, Train Acc: 11.95%, Val Loss: 1.1490, Val Acc: 16.62%, Time: 0min 6.7s
Epoch 27/160, Train Loss: 1.1762, Train Acc: 11.90%, Val Loss: 1.0934, Val Acc: 17.69%, Time: 0min 6.8s
Epoch 28/160, Train Loss: 1.1041, Train Acc: 12.60%, Val Loss: 1.0896, Val Acc: 18.68%, Time: 0min 6.8s
Epoch 29/160, Train Loss: 1.0470, Train Acc: 12.32%, Val Loss: 1.0128, Val Acc: 18.65%, Time: 0min 6.9s
Epoch 30/160, Train Loss: 1.0214, Train Acc: 12.78%, Val Loss: 0.9637, Val Acc: 18.51%, Time: 0min 6.9s
Epoch 31/160, Train Loss: 1.0015, Train Acc: 12.56%, Val Loss: 0.9387, Val Acc: 19.15%, Time: 0min 6.8s
Epoch 32/160, Train Loss: 0.9514, Train Acc: 13.22%, Val Loss: 0.8871, Val Acc: 18.79%, Time: 0min 6.9s
Epoch 33/160, Train Loss: 0.9425, Train Acc: 12.57%, Val Loss: 0.8654, Val Acc: 19.22%, Time: 0min 6.6s
Epoch 34/160, Train Loss: 0.8781, Train Acc: 12.93%, Val Loss: 0.8166, Val Acc: 19.02%, Time: 0min 6.7s
Epoch 35/160, Train Loss: 0.8592, Train Acc: 13.35%, Val Loss: 0.7783, Val Acc: 18.17%, Time: 0min 6.8s
Epoch 36/160, Train Loss: 0.8136, Train Acc: 13.07%, Val Loss: 0.8086, Val Acc: 19.47%, Time: 0min 6.8s
Epoch 37/160, Train Loss: 0.8139, Train Acc: 13.88%, Val Loss: 0.7250, Val Acc: 18.78%, Time: 0min 6.8s
Epoch 38/160, Train Loss: 0.7736, Train Acc: 13.73%, Val Loss: 0.6920, Val Acc: 17.96%, Time: 0min 6.8s
Epoch 39/160, Train Loss: 0.7240, Train Acc: 13.85%, Val Loss: 0.6851, Val Acc: 17.43%, Time: 0min 6.9s
Epoch 40/160, Train Loss: 0.7162, Train Acc: 14.05%, Val Loss: 0.6739, Val Acc: 16.82%, Time: 0min 6.8s
Epoch 41/160, Train Loss: 0.6845, Train Acc: 14.14%, Val Loss: 0.6173, Val Acc: 19.15%, Time: 0min 6.7s
Epoch 42/160, Train Loss: 0.6671, Train Acc: 14.14%, Val Loss: 0.6001, Val Acc: 18.99%, Time: 0min 6.7s
Epoch 43/160, Train Loss: 0.6562, Train Acc: 14.62%, Val Loss: 0.5677, Val Acc: 18.68%, Time: 0min 6.7s
Epoch 44/160, Train Loss: 0.6273, Train Acc: 14.09%, Val Loss: 0.5617, Val Acc: 19.51%, Time: 0min 6.8s
Epoch 45/160, Train Loss: 0.5907, Train Acc: 15.03%, Val Loss: 0.5303, Val Acc: 18.49%, Time: 0min 6.7s
Epoch 46/160, Train Loss: 0.5953, Train Acc: 14.90%, Val Loss: 0.5473, Val Acc: 20.12%, Time: 0min 6.7s
Epoch 47/160, Train Loss: 0.5558, Train Acc: 15.12%, Val Loss: 0.4927, Val Acc: 20.08%, Time: 0min 6.8s
Epoch 48/160, Train Loss: 0.5509, Train Acc: 16.19%, Val Loss: 0.4854, Val Acc: 20.95%, Time: 0min 6.9s
Epoch 49/160, Train Loss: 0.5330, Train Acc: 16.52%, Val Loss: 0.4879, Val Acc: 21.53%, Time: 0min 6.7s
Epoch 50/160, Train Loss: 0.5342, Train Acc: 16.08%, Val Loss: 0.4493, Val Acc: 21.32%, Time: 0min 6.8s
Epoch 51/160, Train Loss: 0.5197, Train Acc: 16.61%, Val Loss: 0.4473, Val Acc: 21.34%, Time: 0min 6.7s
Epoch 52/160, Train Loss: 0.5035, Train Acc: 16.90%, Val Loss: 0.4377, Val Acc: 22.02%, Time: 0min 6.7s
Epoch 53/160, Train Loss: 0.4858, Train Acc: 17.27%, Val Loss: 0.4146, Val Acc: 21.91%, Time: 0min 6.8s
Epoch 54/160, Train Loss: 0.4772, Train Acc: 17.92%, Val Loss: 0.4076, Val Acc: 22.62%, Time: 0min 6.8s
Epoch 55/160, Train Loss: 0.4775, Train Acc: 17.40%, Val Loss: 0.4119, Val Acc: 23.88%, Time: 0min 6.9s
Epoch 56/160, Train Loss: 0.4547, Train Acc: 18.77%, Val Loss: 0.3836, Val Acc: 24.18%, Time: 0min 6.8s
