Epoch 1/170, Train Loss: 3.1410, Train Acc: 3.38%, Val Loss: 3.2628, Val Acc: 0.00%, Time: 0min 4.8s
Epoch 2/170, Train Loss: 2.9407, Train Acc: 7.79%, Val Loss: 2.9849, Val Acc: 0.00%, Time: 0min 3.6s
Epoch 3/170, Train Loss: 2.7572, Train Acc: 12.97%, Val Loss: 2.5909, Val Acc: 0.00%, Time: 0min 3.7s
Epoch 4/170, Train Loss: 2.5849, Train Acc: 12.50%, Val Loss: 2.2750, Val Acc: 0.00%, Time: 0min 3.6s
Epoch 5/170, Train Loss: 2.4489, Train Acc: 13.03%, Val Loss: 2.0474, Val Acc: 0.00%, Time: 0min 3.6s
Epoch 6/170, Train Loss: 2.3247, Train Acc: 15.36%, Val Loss: 2.0369, Val Acc: 0.26%, Time: 0min 3.7s
Epoch 7/170, Train Loss: 2.2405, Train Acc: 16.23%, Val Loss: 2.0934, Val Acc: 12.33%, Time: 0min 3.6s
Epoch 8/170, Train Loss: 2.1763, Train Acc: 16.23%, Val Loss: 2.0068, Val Acc: 18.31%, Time: 0min 3.6s
Epoch 9/170, Train Loss: 2.0980, Train Acc: 17.84%, Val Loss: 1.9842, Val Acc: 19.72%, Time: 0min 3.7s
Epoch 10/170, Train Loss: 2.0229, Train Acc: 18.79%, Val Loss: 1.9160, Val Acc: 20.43%, Time: 0min 3.7s
Epoch 11/170, Train Loss: 1.9952, Train Acc: 17.90%, Val Loss: 1.9087, Val Acc: 21.10%, Time: 0min 3.7s
Epoch 12/170, Train Loss: 1.9051, Train Acc: 18.93%, Val Loss: 1.9035, Val Acc: 21.13%, Time: 0min 3.6s
Epoch 13/170, Train Loss: 1.8527, Train Acc: 19.71%, Val Loss: 1.8404, Val Acc: 21.30%, Time: 0min 3.7s
Epoch 14/170, Train Loss: 1.8181, Train Acc: 18.38%, Val Loss: 1.7707, Val Acc: 21.32%, Time: 0min 3.7s
Epoch 15/170, Train Loss: 1.7657, Train Acc: 19.98%, Val Loss: 1.7293, Val Acc: 21.73%, Time: 0min 3.7s
Epoch 16/170, Train Loss: 1.7449, Train Acc: 20.81%, Val Loss: 1.6684, Val Acc: 22.15%, Time: 0min 3.7s
Epoch 17/170, Train Loss: 1.6881, Train Acc: 21.64%, Val Loss: 1.6314, Val Acc: 23.02%, Time: 0min 3.6s
Epoch 18/170, Train Loss: 1.6313, Train Acc: 20.76%, Val Loss: 1.5957, Val Acc: 24.10%, Time: 0min 3.7s
Epoch 19/170, Train Loss: 1.5927, Train Acc: 22.47%, Val Loss: 1.5475, Val Acc: 24.65%, Time: 0min 3.7s
Epoch 20/170, Train Loss: 1.5356, Train Acc: 21.60%, Val Loss: 1.4908, Val Acc: 26.43%, Time: 0min 3.7s
Epoch 21/170, Train Loss: 1.5183, Train Acc: 23.03%, Val Loss: 1.4482, Val Acc: 28.28%, Time: 0min 3.7s
Epoch 22/170, Train Loss: 1.4513, Train Acc: 24.33%, Val Loss: 1.4250, Val Acc: 28.16%, Time: 0min 3.7s
Epoch 23/170, Train Loss: 1.4188, Train Acc: 24.46%, Val Loss: 1.3932, Val Acc: 30.70%, Time: 0min 3.7s
Epoch 24/170, Train Loss: 1.4056, Train Acc: 26.72%, Val Loss: 1.3540, Val Acc: 35.28%, Time: 0min 3.7s
Epoch 25/170, Train Loss: 1.3670, Train Acc: 27.18%, Val Loss: 1.2970, Val Acc: 35.11%, Time: 0min 3.6s
Epoch 26/170, Train Loss: 1.3205, Train Acc: 28.10%, Val Loss: 1.2633, Val Acc: 37.53%, Time: 0min 3.6s
Epoch 27/170, Train Loss: 1.2919, Train Acc: 29.75%, Val Loss: 1.2352, Val Acc: 40.22%, Time: 0min 3.7s
Epoch 28/170, Train Loss: 1.2398, Train Acc: 30.37%, Val Loss: 1.2136, Val Acc: 39.21%, Time: 0min 3.7s
